Bandwidth,NSS,Modulation,codingRate,Datarate,receiversensitivity
40,5,16QAM,0.750000,405.000000,-80.596356
80,5,64QAM,0.666667,1170.000000,-71.683056
40,5,64QAM,0.666667,540.000000,-75.040356
20,6,256QAM,0.750000,520.000000,-71.316656
20,6,BPSK,0.500000,43.300000,-95.167656
20,6,QPSK,0.500000,86.700000,-89.141656
20,6,QPSK,0.750000,130.000000,-87.382656
80,5,64QAM,0.750000,1316.300000,-71.171056
20,6,16QAM,0.500000,173.300000,-85.074656
20,6,16QAM,0.750000,260.000000,-83.312656
40,5,64QAM,0.750000,607.500000,-74.529356
80,5,64QAM,0.833333,1462.500000,-70.714056
20,6,64QAM,0.666667,346.700000,-77.756656
40,5,64QAM,0.833333,675.000000,-74.071356
160,5,256QAM,0.833333,3900.000000,-61.774756
160,5,BPSK,0.500000,325.000000,-85.621756
160,5,QPSK,0.500000,650.000000,-79.600756
160,5,QPSK,0.750000,975.000000,-77.840756
20,6,64QAM,0.750000,390.000000,-77.245656
160,5,16QAM,0.500000,1300.000000,-75.531756
160,5,16QAM,0.750000,1950.000000,-73.770756
20,6,64QAM,0.833333,433.300000,-76.788656
160,5,64QAM,0.666667,2600.000000,-68.214756
80,5,256QAM,0.750000,1755.000000,-65.242056
160,5,64QAM,0.750000,2925.000000,-67.703756
40,5,256QAM,0.750000,810.000000,-68.600356
160,5,64QAM,0.833333,3250.000000,-67.245756
20,6,256QAM,0.750000,520.000000,-71.316656
80,5,256QAM,0.833333,1950.000000,-64.785056
80,5,BPSK,0.500000,162.500000,-88.632056
80,5,QPSK,0.500000,325.000000,-82.611056
80,5,QPSK,0.750000,487.500000,-80.851056
40,5,256QAM,0.833333,900.000000,-68.142356
40,5,BPSK,0.500000,75.000000,-91.990356
40,5,QPSK,0.500000,150.000000,-85.969356
40,5,QPSK,0.750000,225.500000,-84.199356
80,5,16QAM,0.500000,650.000000,-78.542056
40,5,16QAM,0.500000,300.000000,-81.899356
80,5,16QAM,0.750000,975.000000,-76.781056
40,5,16QAM,0.750000,450.000000,-80.139356
160,5,256QAM,0.750000,3900.000000,-61.774756
80,5,64QAM,0.666667,1300.000000,-71.225056
40,5,64QAM,0.666667,600.000000,-74.583356
20,6,256QAM,0.750000,577.800000,-70.858656
20,7,BPSK,0.500000,45.500000,-95.621656
20,7,QPSK,0.500000,91.000000,-89.601656
20,7,QPSK,0.750000,136.500000,-87.840656
40,5,64QAM,0.750000,675.000000,-74.071356
80,5,64QAM,0.750000,1462.500000,-70.714056
20,7,16QAM,0.500000,182.000000,-85.531656
20,7,16QAM,0.750000,273.000000,-83.770656
40,5,64QAM,0.833333,750.000000,-73.614356
80,5,64QAM,0.833333,1625.000000,-70.256056
20,7,64QAM,0.666667,364.000000,-78.214656
20,7,64QAM,0.750000,409.500000,-77.703656
160,5,256QAM,0.833333,4333.300000,-61.316756
160,6,BPSK,0.500000,351.000000,-86.079756
160,6,QPSK,0.500000,702.000000,-80.058756
160,6,QPSK,0.750000,1053.000000,-78.297756
160,6,16QAM,0.500000,1404.000000,-75.988756
160,6,16QAM,0.750000,2106.000000,-74.228756
20,7,64QAM,0.833333,455.000000,-77.245656
160,6,64QAM,0.666667,2808.000000,-68.672756
40,5,256QAM,0.750000,900.000000,-68.142356
80,5,256QAM,0.750000,1950.000000,-64.785056
160,6,64QAM,0.750000,3159.000000,-68.160756
160,6,64QAM,0.833333,3510.000000,-67.703756
20,7,256QAM,0.750000,546.000000,-71.774656
20,7,BPSK,0.500000,50.600000,-95.160656
20,7,QPSK,0.500000,101.100000,-89.143656
20,7,QPSK,0.750000,151.700000,-87.381656
20,7,16QAM,0.500000,202.200000,-85.074656
20,7,16QAM,0.750000,303.300000,-83.313656
20,7,64QAM,0.666667,404.400000,-77.757656
80,5,256QAM,0.833333,2166.700000,-64.327056
40,5,256QAM,0.833333,1000.000000,-67.685356
80,6,BPSK,0.500000,175.500000,-89.090056
40,6,BPSK,0.500000,81.000000,-92.447356
80,6,QPSK,0.500000,351.000000,-83.069056
40,6,QPSK,0.500000,162.000000,-86.427356
80,6,QPSK,0.750000,526.500000,-81.308056
40,6,QPSK,0.750000,243.000000,-84.666356
80,6,16QAM,0.500000,702.000000,-78.999056
40,6,16QAM,0.500000,324.000000,-82.357356
80,6,16QAM,0.750000,1053.000000,-77.239056
40,6,16QAM,0.750000,486.000000,-80.596356
20,7,64QAM,0.750000,455.000000,-77.245656
160,6,256QAM,0.750000,4212.000000,-62.231756
80,6,64QAM,0.666667,1404.000000,-71.683056
40,6,64QAM,0.666667,648.000000,-75.040356
20,7,64QAM,0.833333,505.600000,-76.787656
40,6,64QAM,0.750000,729.000000,-74.529356
80,6,64QAM,0.750000,1579.500000,-71.171056
40,6,64QAM,0.833333,810.000000,-74.071356
80,6,64QAM,0.833333,1755.000000,-70.714056
160,6,256QAM,0.833333,4680.000000,-61.774756
160,6,BPSK,0.500000,390.000000,-85.621756
160,6,QPSK,0.500000,780.000000,-79.600756
160,6,QPSK,0.750000,1170.000000,-77.840756
160,6,16QAM,0.500000,1560.000000,-75.531756
20,7,256QAM,0.750000,606.700000,-71.316656
20,8,BPSK,0.500000,52.000000,-95.621656
20,8,QPSK,0.500000,104.000000,-89.601656
20,8,QPSK,0.750000,156.000000,-87.840656
160,6,16QAM,0.750000,2340.000000,-73.770756
20,8,16QAM,0.500000,208.000000,-85.531656
20,8,16QAM,0.750000,312.000000,-83.770656
160,6,64QAM,0.666667,3120.000000,-68.214756
40,6,256QAM,0.750000,972.000000,-68.600356
20,8,64QAM,0.666667,416.000000,-78.214656
80,6,256QAM,0.750000,2106.000000,-65.242056
80,6,BPSK,0.500000,195.000000,-88.632056
80,6,QPSK,0.500000,390.000000,-82.611056
80,6,QPSK,0.750000,585.000000,-80.851056
80,6,16QAM,0.500000,780.000000,-78.542056
80,6,16QAM,0.750000,1170.000000,-76.781056
160,6,64QAM,0.750000,3510.000000,-67.703756
20,8,64QAM,0.750000,468.000000,-77.703656
80,6,64QAM,0.666667,1560.000000,-71.225056
160,6,64QAM,0.833333,3900.000000,-67.245756
20,8,64QAM,0.833333,520.000000,-77.245656
80,6,64QAM,0.750000,1755.000000,-70.714056
80,6,64QAM,0.833333,1950.000000,-70.256056
40,6,256QAM,0.833333,1080.000000,-68.142356
40,6,BPSK,0.500000,90.000000,-91.990356
40,6,QPSK,0.500000,180.000000,-85.969356
40,6,QPSK,0.750000,270.000000,-84.208356
40,6,16QAM,0.500000,360.000000,-81.899356
40,6,16QAM,0.750000,540.000000,-80.139356
40,6,64QAM,0.666667,720.000000,-74.583356
160,6,256QAM,0.750000,4680.000000,-61.774756
20,8,256QAM,0.750000,624.000000,-71.774656
20,8,BPSK,0.500000,57.800000,-95.162656
20,8,QPSK,0.500000,115.600000,-89.141656
20,8,QPSK,0.750000,173.300000,-87.383656
20,8,16QAM,0.500000,231.100000,-85.074656
40,6,64QAM,0.750000,810.000000,-74.071356
20,8,16QAM,0.750000,346.700000,-83.312656
20,8,64QAM,0.666667,462.200000,-77.757656
40,6,64QAM,0.833333,900.000000,-73.614356
80,6,256QAM,0.750000,2340.000000,-64.785056
80,7,BPSK,0.500000,204.800000,-89.089056
80,7,QPSK,0.500000,409.500000,-83.069056
80,7,QPSK,0.750000,614.300000,-81.308056
80,7,16QAM,0.500000,819.000000,-78.999056
80,7,16QAM,0.750000,1228.500000,-77.239056
20,8,64QAM,0.750000,520.000000,-77.245656
80,7,64QAM,0.666667,1638.000000,-71.683056
160,6,256QAM,0.833333,5200.000000,-61.316756
160,7,BPSK,0.500000,409.500000,-86.079756
20,8,64QAM,0.833333,577.800000,-76.787656
160,7,QPSK,0.500000,819.000000,-80.058756
160,7,QPSK,0.750000,1228.500000,-78.297756
160,7,16QAM,0.500000,1638.000000,-75.988756
160,7,16QAM,0.750000,2457.000000,-74.228756
80,7,64QAM,0.833333,2047.500000,-70.714056
160,7,64QAM,0.666667,3276.000000,-68.672756
40,6,256QAM,0.750000,1080.000000,-68.142356
